epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
58,2401.58,1.58592,1.79184,1.31085,0.39614,0.12289,0.07192,0.02285,2.35673,3.63329,1.89681,0.000726964,0.000242321,0.000726964,0.000242321,0.000726964,0.000242321,0.000726964,0.000242321
59,2441.43,1.59239,1.8337,1.32543,0.40378,0.13033,0.08057,0.02579,2.34169,3.6272,1.90473,0.000673929,0.000224643,0.000673929,0.000224643,0.000673929,0.000224643,0.000673929,0.000224643
60,2481.29,1.57538,1.81416,1.31468,0.39914,0.13541,0.08122,0.02559,2.3698,3.62213,1.92669,0.000620893,0.000206964,0.000620893,0.000206964,0.000620893,0.000206964,0.000620893,0.000206964
61,2524.62,1.61184,1.74974,1.36981,0.40961,0.11161,0.07232,0.02268,2.4041,3.62645,1.92016,0.000567857,0.000189286,0.000567857,0.000189286,0.000567857,0.000189286,0.000567857,0.000189286
62,2563.89,1.55722,1.62732,1.33575,0.39816,0.12889,0.07648,0.02428,2.39495,3.60457,1.93098,0.000514821,0.000171607,0.000514821,0.000171607,0.000514821,0.000171607,0.000514821,0.000171607
63,2602.77,1.556,1.61017,1.3305,0.40004,0.12235,0.07313,0.02427,2.39036,3.6134,1.93259,0.000461786,0.000153929,0.000461786,0.000153929,0.000461786,0.000153929,0.000461786,0.000153929
64,2641.78,1.51936,1.58118,1.32384,0.39438,0.12438,0.07183,0.02325,2.39139,3.63927,1.92275,0.00040875,0.00013625,0.00040875,0.00013625,0.00040875,0.00013625,0.00040875,0.00013625
65,2681.01,1.51498,1.54967,1.32527,0.39354,0.12061,0.07152,0.02301,2.40355,3.65117,1.93269,0.000355714,0.000118571,0.000355714,0.000118571,0.000355714,0.000118571,0.000355714,0.000118571
66,2720.03,1.51955,1.52172,1.32144,0.40267,0.12355,0.07352,0.02368,2.38807,3.65714,1.92577,0.000302679,0.000100893,0.000302679,0.000100893,0.000302679,0.000100893,0.000302679,0.000100893
67,2759.25,1.50735,1.5416,1.31987,0.40037,0.12946,0.07614,0.02433,2.3813,3.65064,1.91687,0.000249643,8.32143e-05,0.000249643,8.32143e-05,0.000249643,8.32143e-05,0.000249643,8.32143e-05
68,2798.01,1.52836,1.53265,1.31851,0.3829,0.1365,0.07233,0.02311,2.40391,3.67931,1.93281,0.000196607,6.55357e-05,0.000196607,6.55357e-05,0.000196607,6.55357e-05,0.000196607,6.55357e-05
69,2837.62,1.49554,1.51939,1.31498,0.393,0.12715,0.07273,0.02361,2.40924,3.66557,1.93471,0.000143571,4.78571e-05,0.000143571,4.78571e-05,0.000143571,4.78571e-05,0.000143571,4.78571e-05
70,2876.66,1.49339,1.49548,1.30282,0.395,0.12117,0.0722,0.0234,2.40232,3.66476,1.93126,9.05357e-05,3.01786e-05,9.05357e-05,3.01786e-05,9.05357e-05,3.01786e-05,9.05357e-05,3.01786e-05
